,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
3334,1972,Unprovoked,FRENCH POLYNESIA,Tuamotus,Ahé Atoll,Spearfishing,M,Thigh bitten,Morning,0,1,spinner,spr
3342,1972,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,Swimming,M,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",unknown,1,0,hammerhead,win
3343,1972,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Kosi Bay,Sitting in shallows,F,Foot bitten,unknown,0,1,unknown,win
3344,1972,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Standing,M,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",unknown,0,1,unknown,win
3318,1972,Unprovoked,REUNION,Saint-Philippe,Basse Vallée,Spearfishing,unknown,FATAL,Afternoon,1,0,reef,win
3336,1972,Unprovoked,AUSTRALIA,Queensland,Wellington Point,unknown,F,Left leg bitten,unknown,0,1,tiger,spr
3337,1972,Unprovoked,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,FATAL,unknown,1,0,tiger,spr
3350,1971,Unprovoked,HONG KONG,Mirs Bay ,unknown,Freedom Swimming,M,"Left leg severely bitten, surgically amputated",unknown,0,1,unknown,aut
3363,1971,Unprovoked,KENYA,Coast Province,Watamu,Swimming,M,Right foot bitten,Afternoon,0,1,unknown,aut
3368,1971,Unprovoked,MOZAMBIQUE,Between Beira & Maputo,unknown,Wreck of the 1689-ton Portuguese  coaster Angoche,unknown,"FATAL, it was  thought  the surviving crew  were taken by sharks",Morning,1,0,unknown,unk
3365,1971,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,M,"FATAL, left thigh bitten ",unknown,1,0,unknown,spr
3366,1971,Unprovoked,VENEZUELA,unknown,unknown,unknown,M,"FATAL, body not recovered",unknown,1,0,zambesi,spr
3369,1971,Unprovoked,NEW ZEALAND,South Island,Dunedin,Surfing,M,Lacerations to left leg ,unknown,0,1,white,spr
3361,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,M,Leg & surfboard bitten,Morning,0,1,unknown,sum
3351,1971,Provoked,AUSTRALIA,New South Wales,"Marineland, Sydney",unknown,unknown,PROVOKED INCIDENT,Morning,0,1,nurse,aut
3359,1971,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,M,Laceration to left ankle,Morning,0,1,unknown,sum
3355,1971,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Surfing,unknown,Left foot injured,unknown,0,1,unknown,aut
3352,1971,Unprovoked,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,M,"Right shoulder, arm & hand bitten",unknown,0,1,unknown,aut
3347,1971,Unprovoked,AUSTRALIA,New South Wales,Smokey Cape,unknown,unknown,Survived,Afternoon,0,1,white,win
3358,1971,Provoked,AUSTRALIA,New South Wales,"Manly Marineland, Sydney",Scuba diving & feeding fish,M,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
3371,1971,Unprovoked,AUSTRALIA,South Australia,Southport,Surfing,M,Severe lacerations to thigh,Afternoon,0,1,unknown,unk
3372,1971,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",unknown,M,Survived,Afternoon,0,1,white,unk
3360,1971,Unprovoked,USA,California,"Point Purisima, Santa Barbara County",Hookah diving (submerged),M,"Major injuries to head, buttocks & back",Morning,0,1,white,sum
3888,1971,Unprovoked,TURKEY,Anatolia,"?nciralti Beach, ?zmir ",Swimming,M,Left leg injured,Afternoon,0,1,unknown,sum
3348,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,Right forearm bitten,unknown,0,1,unknown,win
3353,1971,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,M,Wrist & hand lacerated,Afternoon,0,1,unknown,aut
3364,1971,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay,Swimming,M,"FATAL, multiple bites ",unknown,1,0,unknown,spr
3356,1971,Unprovoked,CROATIA,Istria County,Ika,Swimming,M,FATAL,unknown,1,0,unknown,aut
3357,1971,Unprovoked,AUSTRALIA,South Australia,Adelaide,Fishing,M," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Afternoon,1,0,unknown,aut
3349,1971,Unprovoked,AUSTRALIA,Queensland,Gladstone,unknown,M,FATAL,unknown,1,0,unknown,win
3354,1971,Unprovoked,USA,California,"Sea Ranch, Sonoma County",Scuba diving,M,Bitten on legs,Afternoon,0,1,raggedtooth,aut
3370,1971,Unprovoked,AUSTRALIA,Tasmania,unknown,Swimming,M,Torso lacerated,Afternoon,0,1,white,win
3362,1971,Unprovoked,BRITISH ISLES,South Devon,Beesands,Scuba diving,M,"No injury, said to have been attacked by shark but drove it away with a lobster hook",Afternoon,0,1,unknown,sum
3385,1970,Unprovoked,USA,South Carolina,unknown,Swimming,M,Foot lacerated,unknown,0,1,sand,aut
3386,1970,Unprovoked,USA,Florida,Pinellas County,Scuba diving,M,Calf / knee injured?,Afternoon,0,1,white,aut
3406,1970,Unprovoked,ENGLAND,Devon,Teignmouth,Attempted to return injured shark to the sea,M,Leg bitten,Morning,0,1,tiger,aut
3380,1970,Unprovoked,USA,Florida,"Matanzas Inlet, St Johns County",Surfing,M,Bitten on right leg above the ankle,Afternoon,0,1,unknown,aut
3378,1970,Unprovoked,unknown,unknown,unknown,unknown,M,Extensive injuries,Morning,0,1,white,aut
3409,1970,Unprovoked,SPAIN,Canary Islands,"Icod de los Vinos, Tenerife",Spearfishing,M,Minor injury,Morning,0,1,unknown,unk
3393,1970,Unprovoked,PHILIPPINES,200 nm southeast of Manila,unknown,Motor launch Baby Princesa capsized with 22 people on board,unknown,"2 people survived, 6 drowned & the others were killed by sharks",unknown,1,0,unknown,sum
3410,1970,Boating,ITALY,Sardinia,Golfo di Oristano,Fishing on a boat,M,No injury,Afternoon,0,1,unknown,unk
3395,1970,Provoked,unknown,unknown,unknown,Freediving,M,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,unknown,0,1,unknown,spr
3396,1970,Unprovoked,SOLOMON ISLANDS,unknown,unknown,Swimming,M,No details,unknown,unknown,unknown,unknown,spr
3388,1970,Unprovoked,unknown,unknown,unknown,unknown,M,Finger or toe severed,Afternoon,0,1,unknown,sum
3399,1970,Unprovoked,unknown,unknown,unknown,Wading,F,Lacerations to lower leg,unknown,0,1,unknown,win
3394,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Swimming,M,"FATAL, body not recovered",unknown,1,0,unknown,spr
3381,1970,Unprovoked,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,Lacerations & punctures to right arm & shoulder ,unknown,0,1,unknown,aut
3379,1970,Unprovoked,USA,Hawaii,"Brennecke Beach, Po'ipu, Kaua'i",Body surfing,M,Shoulder & arm bitten,Afternoon,0,1,hammerhead,aut
3398,1970,Unprovoked,USA,Florida,Manatee County,Wading,M,Foot & calf lacerated,unknown,0,1,unknown,spr
3400,1970,Unprovoked,MOZAMBIQUE,Limpopo River,3.2 km inland,Swimming,M,"Hands severed, forearm severely lacerated",Afternoon,0,1,gill,win
3401,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,Leg severed at knee,Afternoon,0,1,tiger,win
3402,1970,Unprovoked,MOZAMBIQUE,Limpopo River,"Gijana, 150 km inland",Swimming,M,"Arm severed, thigh bitten",unknown,0,1,unknown,win
3389,1970,Provoked,USA,Florida,"Dania, Broward County",Fishing,M,Bitten on calf by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,sum
3408,1970,Unprovoked,SRI LANKA,Western Province,Colombo Harbor,Spearfishing / freediving,M,Swim fins badly torn by the shark's teeth,Afternoon,0,1,bull,unk
3412,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Washing cooking pans,F,Left hand severed,Afternoon,0,1,unknown,unk
3413,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River near Abu al Khasib,Washing clothes on stairs,F,Left foot severed,Afternoon,0,1,unknown,unk
3414,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,Swimming,M,"FATAL, left leg severed",Afternoon,1,0,whaler,unk
3415,1970,Unprovoked,IRAQ,Basrah,Shatt-al-Arab River,"Fishing, trying to catch the end of his fishing line",M,Left hand bitten,Afternoon,0,1,unknown,unk
3411,1970,Unprovoked,CROATIA,Zadar County,Novigrad,Spearfishing,M,No details,unknown,unknown,unknown,unknown,unk
3374,1970,Unprovoked,MOZAMBIQUE,Inhambe Province,"Inhasoka, Inhambe Bay",Fishing for prawns,M,"FATAL, arm severed  ",Morning,1,0,unknown,win
3390,1970,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank, Oceanographic Research Institute, Durban",Scuba Diving,M,2 cm laceration on knee PROVOKED INCIDENT,unknown,0,1,unknown,sum
3382,1970,Provoked,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,Spearfishing,M,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",unknown,0,1,unknown,aut
3391,1970,Unprovoked,GRENADA,St. Andrew Parish,Grenville,Wading,M,"FATAL, multiple injuries to both legs  ",Afternoon,1,0,unknown,sum
