,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Time,Fatal,NotFatal,Species,Season
336,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,Injury to right ankle/calf & hand,Afternoon,0,1,juvenile,aut
337,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,"Arms severely injured, surgically amputated",Afternoon,0,1,tiger,aut
418,2015,Unprovoked,REUNION,Le Port,Folette,Surfing,M,Left forearm bitten,unknown,0,1,unknown,sum
397,2015,Unprovoked,USA,North Carolina,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",Swimming,M,"Injuries to torso, hip, lower leg & hands",Morning,0,1,unknown,sum
462,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",unknown,M,Leg bitten,Afternoon,0,1,unknown,win
504,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,M,Lacerations to right hand,Afternoon,0,1,unknown,aut
538,2014,Boating,ST. MARTIN,unknown,20 miles from shore,Transatlantic Rowing,M,His boat was holed by a shark,Afternoon,0,1,unknown,aut
512,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,Lacerations to forearm from hooked shark PROVOKED INCIDENT,Afternoon,0,1,unknown,aut
469,2014,Unprovoked,JAPAN,unknown,unknown,Diving / Filming,M,"No injury, shark snagged its teeth in diver's suit",unknown,0,1,unknown,aut
475,2014,Boating,USA,California,"Franklin Point, San Mateo County",unknown,unknown,"Shark bumped boat, no injury to occupants",Afternoon,0,1,unknown,aut
542,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,Lacerations to right hand by captive shark PROVOKED INCIDENT,Afternoon,0,1,salmon,aut
581,2014,Boating,PAPUA NEW GUINEA,unknown,unknown,Sailing,M,"No injury to occupants, hull bitten",Afternoon,0,1,unknown,aut
498,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,F,Thumb & finger nipped,unknown,0,1,unknown,aut
565,2014,Boating,SOUTH AFRICA,unknown,unknown,Shark watching,unknown,"No injury to occupants, shark bit pontoon",Morning,0,1,bull,aut
471,2014,Provoked,SPAIN,Granada,Off Motril,Fishing for blue sharks,M,Glancing bite to wrist from netted shark PROVOKED INCIDENT,Morning,0,1,unknown,aut
534,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to foot,unknown,0,1,reef,sum
535,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,Afternoon,0,1,white,sum
536,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,"No injury, surboard bitten",unknown,0,1,nurse,sum
480,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,Lacerations to fingers,Morning,0,1,unknown,aut
505,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,Injury to left calf,Afternoon,0,1,unknown,sum
537,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,Right hand bitten,unknown,0,1,unknown,sum
481,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,Morning,0,1,tiger,aut
472,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,Minor injuries to right leg,Afternoon,0,1,unknown,aut
463,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,unknown,Lacerations to both feet,unknown,0,1,whitetip,win
464,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,FATAL,unknown,1,0,white,win
506,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to shin,Afternoon,0,1,bull,sum
465,2014,Unprovoked,GREECE,unknown,33 nautical miles off Othonoi Island,unknown,unknown,"Of 9 bodies recovered, one was bitten by a shark",Morning,0,1,unknown,win
467,2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,Injury to hip/leg,unknown,0,1,angel,win
468,2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,Afternoon,0,1,reef,win
508,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,Lacerations to foot by hooked shark PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
526,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Left foot bitten,Afternoon,0,1,unknown,sum
509,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,Minor lacerations to posterior lower leg,unknown,0,1,unknown,sum
510,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,Laceration to left hand,Afternoon,0,1,gill,sum
511,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,Heel bitten,Afternoon,0,1,bull,sum
585,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,unknown,0,1,unknown,win
539,2014,Unprovoked,BAHAMAS,Abaco Islands,unknown,Spearfishing,M,No injury but shark took his pole spear,unknown,0,1,blacktip,sum
586,2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,M,Minor injury to left lower leg & heel,Morning,0,1,unknown,win
551,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,Lacerations to legs,Afternoon,0,1,nurse,spr
513,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,unknown,Laceration to left foot,Afternoon,0,1,unknown,sum
562,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,Minor injury,unknown,0,1,bull,spr
552,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,M,Lacerations to left thigh and hip,Morning,0,1,unknown,spr
482,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,"No injury, paddleboard bitten",Morning,0,1,unknown,aut
553,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,Cut to tip of finger by a captive shark PROVOKED INCIDENT,unknown,0,1,unknown,spr
571,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,FATAL,unknown,1,0,unknown,spr
572,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,Lacerations to left forearm,Morning,0,1,white,spr
527,2014,Unprovoked,REUNION,Saint-Leu,unknown,Surfing,M,Lacerations to right wrist & calf,Morning,0,1,white,sum
563,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,Laceration & puncture wounds to right foot,Afternoon,0,1,unknown,spr
497,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to left foot,Morning,0,1,unknown,aut
573,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,Lacerations to toes and heel of right foot,unknown,0,1,unknown,spr
528,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,Lacerations to right knee,unknown,0,1,spinner,sum
588,2014,Unprovoked,USA,Hawaii,unknown,Free diving / Photographing pilot whales,M,"""Minor laceration to shoulder""",Morning,0,1,white,unk
589,2014,Boating,NEW ZEALAND,unknown,Stewart Island,Filming a documentary,unknown,"No injury to occupants, shark nudged and bit boat",unknown,0,1,unknown,unk
483,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,"No injury, paddleboard bitten",unknown,0,1,bull,aut
473,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),unknown,Fishing,M,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Morning,1,0,unknown,aut
529,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,unknown,Minor injury,unknown,0,1,unknown,sum
580,2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,M,Lacerations to lower leg,Afternoon,0,1,tiger,win
484,2014,Boating,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,"No injury to occupant, canoe bitten",Morning,0,1,white,aut
474,2014,Boating,AUSTRALIA,Western Australia,Freo,Fishing,M,"Shark chasing fish bumped boat, no injury to occupants",Afternoon,0,1,unknown,aut
485,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,"No injury, surfboard bitten",Afternoon,0,1,unknown,aut
574,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,unknown,Kite Surfing,M,Lacerations to calf,Afternoon,0,1,reef,spr
575,2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,Shark leapt onto surfboard; surfer uninjured ,Afternoon,0,1,reef,spr
540,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,"No injury, surfboard 'attacked'",Afternoon,0,1,tiger,sum
541,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,Lacerations to knee,unknown,0,1,blacktip,sum
486,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,"Lacerations to left calf & ankle, puncture wounds to left foot",Afternoon,0,1,unknown,aut
476,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,Laceration to left hand,Afternoon,0,1,unknown,aut
530,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,Lacerations to left foot,Afternoon,0,1,unknown,sum
514,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,Lacerations to face and neck,Morning,0,1,blacktip,sum
554,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,Calf bitten,unknown,0,1,galapagos,spr
470,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,FATAL,unknown,1,0,white,win
564,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Minor lacerations to left foot,unknown,0,1,unknown,spr
487,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,Lacerations to left foot,Morning,0,1,unknown,aut
555,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,"No injury, but surfboard severely damaged",Afternoon,0,1,unknown,spr
531,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,Puncture wounds to foot,Afternoon,0,1,unknown,sum
477,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,Laceration to left upper leg,Afternoon,0,1,unknown,aut
556,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,Lacerations and puncture wounds to right foot,Afternoon,0,1,white,spr
488,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,Laceration to right hand/wrist,Afternoon,0,1,unknown,aut
577,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,Minor lacerations to foot,Morning,0,1,tiger,spr
533,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,Lacerations to hand and wrist,Morning,0,1,unknown,sum
515,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,Puncture wounds and lacerations to left thigh and knee,Morning,0,1,blacktip,sum
566,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,Afternoon,0,1,wobbegong,spr
489,2014,Boating,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,"Kayak deflated, no injury to occupants",Afternoon,0,1,wobbegong,aut
557,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,Puncture wounds to right thigh,Afternoon,0,1,bull,spr
478,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,Minor injury to lower leg and foot,Afternoon,0,1,unknown,aut
516,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",unknown,M,Puncture wounds & lacerations to foot,unknown,0,1,unknown,sum
500,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,FATAL,Morning,1,0,whaler,aut
543,2014,Unprovoked,BRAZIL,unknown,500 km off the coast of Pernambuco,Fishing,M,Severe injury to arm,Afternoon,0,1,tiger,sum
544,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,"Abrasion to right hand, lacerations to left forearm",unknown,0,1,unknown,sum
545,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,Minor injury to torso,Morning,0,1,unknown,sum
517,2014,Unprovoked,BAHAMAS,unknown,unknown,Spearfishing,M,Puncture wounds to right foot and ankle,unknown,0,1,cow,sum
518,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,Puncture wounds to right foot & ankle,unknown,0,1,unknown,sum
479,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,Minor injuries to hand & arm ,unknown,0,1,reef,aut
546,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,Left arm bitten,Morning,0,1,unknown,sum
582,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,FATAL,Afternoon,1,0,white,win
519,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,Minor lacerations to left heel and big toe,Afternoon,0,1,unknown,sum
491,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,Thigh bitten,Morning,0,1,bull,aut
547,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,Shallow lacerations & puncture wounds below shoulder,Afternoon,0,1,unknown,sum
583,2014,Provoked,TRINIDAD & TOBAGO,Trinidad,unknown,Fishing,M,Possibly a PROVOKED INCIDENT,Morning,0,1,unknown,win
584,2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,M,Lacerations to leg,Morning,0,1,raggedtooth,win
501,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,Leg bitten,unknown,0,1,bull,aut
559,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,Lacerations to left foot,unknown,0,1,white,spr
520,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,Lacerations to right leg & foot,Afternoon,0,1,unknown,sum
490,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Foot bitten,unknown,0,1,unknown,aut
492,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Foot bitten,Morning,0,1,raggedtooth,aut
521,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,Lacerations to  foot,Afternoon,0,1,white,sum
560,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Simonstown,Diving,unknown,4-inch laceration to arm,Afternoon,0,1,mako,spr
587,2014,Unprovoked,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,M,5 cm bite to left foot,Afternoon,0,1,tiger,win
567,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor puncture wounds to lower left leg,Afternoon,0,1,tiger,spr
568,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to foot,Afternoon,0,1,reef,spr
502,2014,Boating,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,"No injury, shark bit kayak",Afternoon,0,1,unknown,aut
493,2014,Boating,USA,California,Santa Barbara County,Kayaking,M,"No injury to occupant, shark/s holded  kayak",Afternoon,0,1,unknown,aut
494,2014,Boating,USA,California,Santa Barbara County,Kayaking ,M,"No injury to occupant, shark/s holded  kayak",unknown,0,1,unknown,aut
569,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,FATAL,Morning,1,0,white,spr
503,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,Afternoon,0,1,unknown,aut
495,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,Lacerations to knee,Afternoon,0,1,unknown,aut
496,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,"Left arm & right hand severed, lacerations to both legs",unknown,0,1,unknown,aut
579,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,Lacerations to toes,Afternoon,0,1,unknown,spr
522,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,Foot bitten,Afternoon,0,1,white,sum
523,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,Laceration to ankle,Morning,0,1,white,sum
561,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Laceration to right hand and cuts on fingertips,Afternoon,0,1,white,spr
548,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,Laceration to right lower leg,unknown,0,1,unknown,sum
549,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,Lacerations & puncture wounds to ankle and foot,Afternoon,0,1,reef,sum
550,2014,Unprovoked,USA,Palmyra Atoll,unknown,Tagging sharks,F,Laceration to left hand,Afternoon,0,1,unknown,sum
524,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,Lower limbs & thigh bitten,Morning,0,1,white,sum
692,2013,Unprovoked,BELIZE,unknown,unknown,Snorkeling,F,Toe injured,unknown,0,1,unknown,aut
653,2013,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,4 cuts to posterior calf,unknown,0,1,gill,aut
668,2013,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,Puncture marks to hand,Afternoon,0,1,unknown,aut
642,2013,Unprovoked,SOUTH AFRICA,unknown,unknown,Attempting to free the shark,M,"Unknown, but survived",Afternoon,0,1,unknown,aut
605,2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,Severe bite to right calf & anklel,Morning,0,1,unknown,aut
631,2013,Unprovoked,BAHAMAS,unknown,Freetown Beach,Spearfishing,M,Lower left leg bitten,Afternoon,0,1,unknown,sum
632,2013,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,Foot bitten,Afternoon,0,1,unknown,sum
597,2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbells Beach, ",Body boarding,M,FATAL,unknown,1,0,unknown,aut
659,2013,Unprovoked,TAIWAN,Taitung ,unknown,Fishing,M,Right thigh bitten,Afternoon,0,1,unknown,sum
617,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Lacerations to hand,Morning,0,1,white,aut
618,2013,Unprovoked,ISRAEL,Southern District,Ashdod,Diving,M,Hand bitten ,unknown,0,1,lemon,aut
598,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,Right calf bitten,Afternoon,0,1,white,aut
691,2013,Unprovoked,SEYCHELLES,unknown,Ile Platte,Free diving,M,Lacerations to left foot,unknown,0,1,white,spr
606,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,F,Lacerations to right arm,Morning,0,1,whaler,aut
646,2013,Unprovoked,BAHAMAS,Abaco Islands,Scotland Cay,Spearfishing,M,Leg bitten,Morning,0,1,unknown,sum
649,2013,Unprovoked,BAHAMAS,Exuma Islands,Compass Cay,Cleaning fish,M,Bitten on left hand,Afternoon,0,1,tiger,sum
650,2013,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,Bitten on rear lower extremities,Afternoon,0,1,unknown,sum
679,2013,Provoked,AUSTRALIA,New South Wales,Emerald Beach,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,Afternoon,0,1,unknown,spr
671,2013,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,M,Lacerations to right hand,Afternoon,0,1,bull,spr
672,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,Right foot bitten,Afternoon,0,1,unknown,spr
700,2013,Unprovoked,NEW ZEALAND,North Island,Muriwai,Swimming,M,FATAL,Morning,1,0,unknown,win
607,2013,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Body boarding,M,Right leg severed,unknown,0,1,small,aut
608,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,"No injury, swim fin shredded",Afternoon,0,1,blacktip,aut
706,2013,Boating,AUSTRALIA,Victoria,Cape Nelson,Fishing,M,"No injury to occupants, shark bit propeller",Afternoon,0,1,nurse,win
634,2013,Provoked,FRANCE,Bay of Biscay,unknown,Longline fishing for sharks,M,Laceration to right arm from hooked shark  PROVOKED INCIDENT,Afternoon,0,1,unknown,sum
661,2013,Boating,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,M,"No injury, kayak scratched",Afternoon,0,1,white,sum
662,2013,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,Lacerations to left foot,Morning,0,1,tiger,sum
663,2013,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,"Bitten on lower right leg, reported as a minor injury",Afternoon,0,1,unknown,sum
707,2013,Unprovoked,AUSTRALIA,Queensland,Noosa,Surfing,M,Lacerations to neck,Afternoon,0,1,bull,win
590,2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,M,Leg bitten,Afternoon,0,1,unknown,win
609,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,M,Injuries to right foot,Afternoon,0,1,unknown,aut
680,2013,Unprovoked,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,Avulsion injury  to lower right leg,Afternoon,0,1,unknown,spr
610,2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,M,"3"" laceration to left hip",Afternoon,0,1,reef,aut
599,2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,FATAL,Morning,1,0,tiger,aut
673,2013,Unprovoked,BRAZIL,Pernambuco,Coral Cove Beach,unknown,M,FATAL,Morning,1,0,reef,spr
674,2013,Provoked,PALESTINIAN TERRITORIES,unknown,Gaza,Fishing,M,Two fingers lost PROVOKED INCIDENT,Afternoon,0,1,spinner,spr
600,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,"No injury, board bitten",Morning,0,1,white,aut
693,2013,Unprovoked,BAHAMAS,Eleuthera,Savannah Sound,Fly fishing,M,Left foot bitten,Afternoon,0,1,unknown,spr
701,2013,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,unknown,Lacerations to right leg,unknown,0,1,blue,win
702,2013,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,M,"No injury, shark bit rail of foam board",Afternoon,0,1,white,win
681,2013,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Fishing,M,Puncture wounds and lacerations to both legs,Morning,0,1,white,spr
611,2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,"No injury, shark bit surfboard",Morning,0,1,lemon,aut
612,2013,Unprovoked,USA,Florida,Miami Beach,Wading,M,Bitten on left calf & foot,unknown,0,1,unknown,aut
652,2013,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,Lacerations and abrasions to foot and ankle,unknown,0,1,unknown,sum
664,2013,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,Right thigh & calf bitten,Afternoon,0,1,white,sum
665,2013,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,Left leg & hand bitten,Afternoon,0,1,unknown,sum
638,2013,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,"No injury, shark bumped surfboard",Afternoon,0,1,unknown,sum
682,2013,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,Lacerations to right foot,Afternoon,0,1,unknown,spr
694,2013,Provoked,SOUTH AFRICA,Western Cape Province,De Mond,Fishing - 'tag & release',M,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,Afternoon,0,1,tiger,spr
695,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,M,"No injury, surfboard bitten",unknown,0,1,tiger,spr
666,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,Lacerations to knee,Morning,0,1,bull,sum
709,2013,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,Left forearm bitten ,Afternoon,0,1,unknown,win
591,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,Injuries to left thigh,Afternoon,0,1,galapagos,win
667,2013,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,Lacerations to left ankle,Morning,0,1,bull,sum
654,2013,Unprovoked,REUNION,Saint-Paul,Le cimetière marin,Swimming & snorkeling,F,FATAL,unknown,1,0,small,sum
675,2013,Unprovoked,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Surfing,M,Superficial injury to left calf,Afternoon,0,1,unknown,spr
655,2013,Unprovoked,DIEGO GARCIA,unknown,unknown,Swimming,M,FATAL,Afternoon,1,0,unknown,sum
683,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Free diving,M,"""Light scratch on hand/wrist area""",Afternoon,0,1,unknown,spr
710,2013,Unprovoked,NEW ZEALAND,Mercury Islands,Great Mercury Island,Spearfishing,M,Minor cut on finger,Afternoon,0,1,unknown,win
592,2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,unknown,Attempting to remove fishing net from submerged object,M,Severe injury to arm,unknown,0,1,unknown,win
684,2013,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor lacerations to right hand,Morning,0,1,unknown,spr
685,2013,Unprovoked,GUAM,unknown,unknown,unknown,M,FATAL,Afternoon,1,0,white,spr
601,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,M,"No injury, board bumped by shark",Afternoon,0,1,unknown,aut
696,2013,Unprovoked,JAMAICA,St. Catherine,Pillikin Red Light area ,Spearfishing,M,FATAL,Afternoon,1,0,unknown,spr
613,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,FATAL,Morning,1,0,white,aut
656,2013,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,Right foot bitten,Morning,0,1,white,sum
593,2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,Lacerations to right hand & knee,unknown,0,1,blue,win
641,2013,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,"No injury, shark became entangled in his surfboard leash",Afternoon,0,1,bull,sum
